IF.PC	ID.PC	EX.PC	MEM.PC	WB.PC
0	0	0	0	0
-	-	-	-	-
0	0	0	0	0
4	0	0	0	0
8	4	0	0	0
12	8	4	0	0
20	0	0	4	0
24	20	0	0	4
28	24	20	0	0
36	0	0	20	0
40	36	0	0	20
44	40	36	0	0
52	0	0	36	0
56	52	0	0	36
60	56	52	0	0
68	0	0	52	0
72	68	0	0	52
76	72	68	0	0
736	0	0	68	0
740	736	0	0	68
744	740	736	0	0
748	744	740	736	0
752	748	744	740	736
756	752	748	744	740
760	756	752	748	744
764	760	756	752	748
768	764	760	756	752
772	768	764	760	756
776	772	768	764	760
780	776	772	768	764
784	780	776	772	768
788	784	780	776	772
792	788	784	780	776
796	792	788	784	780
800	796	792	788	784
804	800	796	792	788
808	804	800	796	792
812	808	804	800	796
816	812	808	804	800
820	816	812	808	804
824	820	816	812	808
828	824	820	816	812
832	828	824	820	816
836	832	828	824	820
840	836	832	828	824
844	840	836	832	828
848	844	840	836	832
852	848	844	840	836
856	852	848	844	840
860	856	852	848	844
864	860	856	852	848
868	864	860	856	852
872	868	864	860	856
876	872	868	864	860
880	876	872	868	864
880	0	0	872	868
884	880	0	0	872
888	884	880	0	0
892	888	884	880	0
896	892	888	884	880
900	896	892	888	884
904	900	896	892	888
908	904	900	896	892
912	908	904	900	896
916	912	908	904	900
920	916	912	908	904
924	920	916	912	908
928	924	920	916	912
932	928	924	920	916
936	932	928	924	920
940	936	932	928	924
944	940	936	932	928
948	944	940	936	932
952	948	944	940	936
956	952	948	944	940
960	956	952	948	944
964	960	956	952	948
968	964	960	956	952
972	968	964	960	956
976	972	968	964	960
980	976	972	968	964
984	980	976	972	968
988	984	980	976	972
992	988	984	980	976
996	992	988	984	980
1000	996	992	988	984
1004	1000	996	992	988
1008	1004	1000	996	992
1012	1008	1004	1000	996
1016	1012	1008	1004	1000
1020	1016	1012	1008	1004
1024	1020	1016	1012	1008
1028	1024	1020	1016	1012
1032	1028	1024	1020	1016
1036	1032	1028	1024	1020
1040	1036	1032	1028	1024
1044	1040	1036	1032	1028
1048	1044	1040	1036	1032
1052	1048	1044	1040	1036
1056	1052	1048	1044	1040
1060	1056	1052	1048	1044
1064	1060	1056	1052	1048
1068	1064	1060	1056	1052
1072	1068	1064	1060	1056
1076	1072	1068	1064	1060
1080	1076	1072	1068	1064
1084	1080	1076	1072	1068
1088	1084	1080	1076	1072
1092	1088	1084	1080	1076
1096	1092	1088	1084	1080
1100	1096	1092	1088	1084
1104	1100	1096	1092	1088
1108	1104	1100	1096	1092
1112	1108	1104	1100	1096
1116	1112	1108	1104	1100
1120	1116	1112	1108	1104
1124	1120	1116	1112	1108
1128	1124	1120	1116	1112
1132	1128	1124	1120	1116
1136	1132	1128	1124	1120
1140	1136	1132	1128	1124
1144	1140	1136	1132	1128
1148	1144	1140	1136	1132
1152	1148	1144	1140	1136
1156	1152	1148	1144	1140
1160	1156	1152	1148	1144
1164	1160	1156	1152	1148
1168	1164	1160	1156	1152
1172	1168	1164	1160	1156
1176	1172	1168	1164	1160
1180	1176	1172	1168	1164
1184	1180	1176	1172	1168
1188	1184	1180	1176	1172
1192	1188	1184	1180	1176
1196	1192	1188	1184	1180
1200	1196	1192	1188	1184
1204	1200	1196	1192	1188
1208	1204	1200	1196	1192
1212	1208	1204	1200	1196
1216	1212	1208	1204	1200
1220	1216	1212	1208	1204
1224	1220	1216	1212	1208
1228	1224	1220	1216	1212
1232	1228	1224	1220	1216
1236	1232	1228	1224	1220
1240	1236	1232	1228	1224
1244	1240	1236	1232	1228
1248	1244	1240	1236	1232
1252	1248	1244	1240	1236
1256	1252	1248	1244	1240
1260	1256	1252	1248	1244
1264	1260	1256	1252	1248
1268	1264	1260	1256	1252
1272	1268	1264	1260	1256
1276	1272	1268	1264	1260
1280	1276	1272	1268	1264
1284	1280	1276	1272	1268
1288	1284	1280	1276	1272
1292	1288	1284	1280	1276
1296	1292	1288	1284	1280
1300	1296	1292	1288	1284
1304	1300	1296	1292	1288
1308	1304	1300	1296	1292
1312	1308	1304	1300	1296
1316	1312	1308	1304	1300
1320	1316	1312	1308	1304
1324	1320	1316	1312	1308
1328	1324	1320	1316	1312
1332	1328	1324	1320	1316
1336	1332	1328	1324	1320
